Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2020/01/27,GME,GME,S,EDGX,416
2020/01/28,GME,GME,S,BATS,297
2020/01/28,GME,GME,S,C2,5
2020/01/28,GME,GME,S,CBOE,657
2020/01/28,GME,GME,S,EDGX,504
2020/01/29,GME,GME,S,BATS,261
2020/01/29,GME,GME,S,C2,52
2020/01/29,GME,GME,S,CBOE,698
2020/01/29,GME,GME,S,EDGX,160
2020/01/30,GME,GME,S,BATS,902
2020/01/30,GME,GME,S,C2,16
2020/01/30,GME,GME,S,CBOE,712
2020/01/30,GME,GME,S,EDGX,244
2020/01/31,GME,GME,S,BATS,979
2020/01/31,GME,GME,S,C2,8
2020/01/31,GME,GME,S,CBOE,723
2020/01/31,GME,GME,S,EDGX,142
2020/02/03,GME,GME,S,BATS,799
2020/02/03,GME,GME,S,C2,29
2020/02/03,GME,GME,S,CBOE,605
2020/02/03,GME,GME,S,EDGX,359
2020/02/04,GME,GME,S,BATS,1263
2020/02/04,GME,GME,S,C2,65
2020/02/04,GME,GME,S,CBOE,875
2020/02/04,GME,GME,S,EDGX,116
2020/02/05,GME,GME,S,BATS,702
2020/02/05,GME,GME,S,C2,17
2020/02/05,GME,GME,S,CBOE,961
2020/02/05,GME,GME,S,EDGX,561
2020/02/06,GME,GME,S,BATS,884
2020/02/06,GME,GME,S,C2,13
2020/02/06,GME,GME,S,CBOE,523
2020/02/06,GME,GME,S,EDGX,35
2020/02/07,GME,GME,S,BATS,1699
2020/02/07,GME,GME,S,C2,125
2020/02/07,GME,GME,S,CBOE,801
2020/02/07,GME,GME,S,EDGX,476
2020/02/10,GME,GME,S,BATS,1383
2020/02/10,GME,GME,S,C2,1088
2020/02/10,GME,GME,S,CBOE,4323
2020/02/10,GME,GME,S,EDGX,342
2020/02/11,GME,GME,S,BATS,1104
2020/02/11,GME,GME,S,CBOE,1190
2020/02/11,GME,GME,S,EDGX,325
2020/02/12,GME,GME,S,BATS,2776
2020/02/12,GME,GME,S,C2,202
2020/02/12,GME,GME,S,CBOE,3265
2020/02/12,GME,GME,S,EDGX,2094
2020/02/13,GME,GME,S,BATS,590
2020/02/13,GME,GME,S,C2,100
2020/02/13,GME,GME,S,CBOE,849
2020/02/13,GME,GME,S,EDGX,356
2020/02/14,GME,GME,S,BATS,648
2020/02/14,GME,GME,S,C2,62
2020/02/14,GME,GME,S,CBOE,733
2020/02/14,GME,GME,S,EDGX,174
2020/02/18,GME,GME,S,BATS,416
2020/02/18,GME,GME,S,C2,1
2020/02/18,GME,GME,S,CBOE,860
2020/02/18,GME,GME,S,EDGX,336
2020/02/19,GME,GME,S,BATS,521
2020/02/19,GME,GME,S,C2,18
2020/02/19,GME,GME,S,CBOE,1455
2020/02/19,GME,GME,S,EDGX,166
2020/02/20,GME,GME,S,BATS,542
2020/02/20,GME,GME,S,C2,2
2020/02/20,GME,GME,S,CBOE,995
2020/02/20,GME,GME,S,EDGX,41
2020/02/21,GME,GME,S,BATS,1143
2020/02/21,GME,GME,S,C2,29
2020/02/21,GME,GME,S,CBOE,456
2020/02/21,GME,GME,S,EDGX,797
2020/02/24,GME,GME,S,BATS,1001
2020/02/24,GME,GME,S,C2,49
2020/02/24,GME,GME,S,CBOE,955
2020/02/24,GME,GME,S,EDGX,278
2020/02/25,GME,GME,S,BATS,564
2020/02/25,GME,GME,S,C2,38
2020/02/25,GME,GME,S,CBOE,2342
2020/02/25,GME,GME,S,EDGX,503
2020/02/26,GME,GME,S,BATS,1399
2020/02/26,GME,GME,S,C2,39
2020/02/26,GME,GME,S,CBOE,1500
2020/02/26,GME,GME,S,EDGX,463
2020/02/27,GME,GME,S,BATS,1807
2020/02/27,GME,GME,S,C2,49
2020/02/27,GME,GME,S,CBOE,1595
2020/02/27,GME,GME,S,EDGX,587
2020/02/28,GME,GME,S,BATS,675
2020/02/28,GME,GME,S,C2,4
2020/02/28,GME,GME,S,CBOE,989
2020/02/28,GME,GME,S,EDGX,798
2020/03/02,GME,GME,S,BATS,318
2020/03/02,GME,GME,S,C2,12
2020/03/02,GME,GME,S,CBOE,918
2020/03/02,GME,GME,S,EDGX,364
2020/03/03,GME,GME,S,BATS,728
2020/03/03,GME,GME,S,C2,32
2020/03/03,GME,GME,S,CBOE,916
2020/03/03,GME,GME,S,EDGX,643
2020/03/04,GME,GME,S,BATS,717
2020/03/04,GME,GME,S,C2,28
2020/03/04,GME,GME,S,CBOE,884
2020/03/04,GME,GME,S,EDGX,128
2020/03/05,GME,GME,S,BATS,1342
2020/03/05,GME,GME,S,C2,730
2020/03/05,GME,GME,S,CBOE,3237
2020/03/05,GME,GME,S,EDGX,122
2020/03/06,GME,GME,S,BATS,946
2020/03/06,GME,GME,S,C2,18
2020/03/06,GME,GME,S,CBOE,1518
2020/03/06,GME,GME,S,EDGX,794
2020/03/09,GME,GME,S,BATS,2571
2020/03/09,GME,GME,S,C2,70
