Date,Open,High,Low,Close,Adj Close,Volume,MEAN,%Change,Log%Chang,Variance,Stdev,Volitility (w/ 21days),Sharpe Ratio,,
2020-12-16,13.96,14.31,13.58,13.85,13.85,5865100,157.41,-0.06608226567768,-0.068366923516493,0.027296101090827,0.165215317361396,0.757111697774747,-10.7880398570491,,
2020-12-17,13.96,14.98,13.59,14.83,14.83,8194900,158.13,-0.051183621241203,-0.052539988283545,0.02741954722429,0.165588487595877,0.758821778621363,-8.3347597264891,,
2020-12-18,15.78,16.30,15.18,15.63,15.63,16618800,158.86,0.006439150032196,0.00641850727279,0.027551914213161,0.165987692956921,0.760651167406177,0.993365464254276,,
2020-12-21,15.81,16.35,15.28,15.53,15.53,9876100,159.59,-0.201952682525832,-0.225587388209801,0.027692111626229,0.166409469761274,0.762583991538504,-36.0284084335633,,
2020-12-22,16.22,20.04,16.15,19.46,19.46,30652700,160.33,-0.053962129314536,-0.05547267829447,0.027598970116353,0.16612937764391,0.761300448209123,-8.92030774826306,,
2020-12-23,20.17,22.35,19.13,20.57,20.57,25830300,161.06,0.020843672456576,0.020629415272174,0.027732515923927,0.166530825746848,0.763140114528433,3.29632464115734,,
2020-12-24,21.01,21.48,19.95,20.15,20.15,6262200,161.79,-0.040019056693664,-0.04084184543985,0.027872411607315,0.166950326766121,0.765062509703361,-6.63377664417969,,
2020-12-28,21.31,21.97,20.35,20.99,20.99,8965900,162.52,0.08307539128356,0.07980457896951,0.028014482503575,0.167375274469004,0.767009864718222,12.9440516725209,,
2020-12-29,20.82,21.07,18.56,19.38,19.38,9241400,163.26,0.006230477673936,0.006211148493052,0.028118737361328,0.167686425691909,0.76843573874976,0.988033818750009,,
2020-12-30,19.38,20.00,18.85,19.26,19.26,5934400,164.02,0.022292993630573,0.022048137221763,0.028266609529475,0.168126766249382,0.770453632685941,3.59041850553527,,
2020-12-31,19.25,19.80,18.80,18.84,18.84,6922700,164.79,0.092173913043478,0.088170125670848,0.028411648476556,0.168557552416247,0.772427742903936,14.5034713344521,,
2021-01-04,19.00,19.10,17.15,17.25,17.25,10022500,165.56,-0.006908520039809,-0.006932494346167,0.028510305370299,0.168849949275383,0.773767673643895,-1.17362007686726,,
2021-01-05,17.35,18.08,17.23,17.37,17.37,4961500,166.36,-0.053921565690547,-0.055429801835038,0.028664252401062,0.169305204884735,0.775853916934306,-9.24692869904849,,
2021-01-06,17.34,18.98,17.33,18.36,18.36,6056200,167.16,0.015486780973452,0.015368084694544,0.028809935121332,0.169734896592692,0.777823011711515,2.54318980445517,,
2021-01-07,18.47,19.45,18.02,18.08,18.08,6129300,167.96,0.022046296096874,0.021806790263226,0.028963190407669,0.170185752657705,0.779889093756963,3.63708039591969,,
2021-01-08,18.18,18.30,17.08,17.69,17.69,6482000,168.78,-0.112838509887738,-0.119728249983338,0.029115882885927,0.170633768304889,0.781942159372711,-20.2329729844138,,
2021-01-11,19.41,20.65,19.01,19.94,19.94,14908000,169.60,-0.000501253107707,-0.000501378777042,0.029212916144577,0.170917863737459,0.783244048197056,-0.110570063143804,,
2021-01-12,19.96,20.40,19.32,19.95,19.95,7060700,170.43,-0.364649649681529,-0.453578699453023,0.029374478040535,0.171389842291003,0.785406925645066,-77.3266641052084,,
2021-01-13,20.42,38.65,20.03,31.40,31.40,144501700,171.26,-0.213229766975695,-0.239819026146435,0.028443251379061,0.168651271501464,0.772857217706009,-41.0964363858285,,
2021-01-14,38.09,43.06,33.05,39.91,39.91,93717400,172.03,0.124225352112676,0.117094222579272,0.028303518097245,0.168236494546353,0.770956470912689,20.1181806063396,,
2021-01-15,38.49,40.75,34.01,35.50,35.50,46866400,172.77,-0.098069128605967,-0.103217401109186,0.028374130055208,0.168446223036339,0.771917567593436,-17.8589413256884,,
2021-01-19,41.55,45.52,36.64,39.36,39.36,74721900,173.54,0.006135020606723,0.006116277986312,0.02848460012104,0.168773813493206,0.773418775658976,1.03557650539017,,
2021-01-20,37.37,41.19,36.06,39.12,39.12,33471800,174.30,-0.090866839202111,-0.095263704006664,0.028646150820248,0.169251738012489,0.775608900945064,-16.6303305096618,,
